矿井名称,钻孔名称,地层名称,岩石名称,标志层名称,累深,层厚,采长,采取率,倾角,真厚,真厚累计,岩性描述
范各庄煤矿,O10,第四系(Q),表土,,12.4,12.4,,,,12.4,12.4,
范各庄煤矿,O10,第四系(Q),粗砂,,18.2,5.8,,,,5.8,18.2,
范各庄煤矿,O10,第四系(Q),粉细砂,,28.6,10.4,,,,10.4,28.6,
范各庄煤矿,O10,第四系(Q),粗砂,,30.6,2,,,,2,30.6,
范各庄煤矿,O10,第四系(Q),砂土,,37.6,7,,,,7,37.6,
范各庄煤矿,O10,第四系(Q),粉细砂,,47.6,10,,,,10,47.6,
范各庄煤矿,O10,第四系(Q),粗砂,,54.8,7.2,,,,7.2,54.8,
范各庄煤矿,O10,第四系(Q),砂土,,61,6.2,,,,6.2,61,
范各庄煤矿,O10,第四系(Q),粗砂,,68.8,7.8,,,,7.8,68.8,
范各庄煤矿,O10,第四系(Q),粘土,,70,1.2,,,,1.2,70,
范各庄煤矿,O10,第四系(Q),中砂,,76.7,6.7,,,,6.7,76.7,
范各庄煤矿,O10,第四系(Q),细砂,,100.7,24,,,,24,100.7,
范各庄煤矿,O10,第四系(Q),粗砂,,103.9,3.2,,,,3.2,103.9,
范各庄煤矿,O10,第四系(Q),粉砂,,107.1,3.2,,,,3.2,107.1,
范各庄煤矿,O10,第四系(Q),粗砂,,111,3.9,,,,3.9,111,
范各庄煤矿,O10,第四系(Q),细砂,,120.7,9.7,,,,9.7,120.7,
范各庄煤矿,O10,第四系(Q),砂土,,123.3,2.6,,,,2.6,123.3,
范各庄煤矿,O10,第四系(Q),细砂,,125.2,1.9,,,,1.9,125.2,
范各庄煤矿,O10,第四系(Q),砂土,,132.7,7.5,,,,7.5,132.7,
范各庄煤矿,O10,第四系(Q),卵石,,158.3,25.6,,,,25.6,158.3,
范各庄煤矿,O10,第四系(Q),粉细砂,,178.5,20.2,,,,20.2,178.5,
范各庄煤矿,O10,第四系(Q),中砂,,188.1,9.6,,,,9.6,188.1,
范各庄煤矿,O10,第四系(Q),粘土,,192.8,4.7,,,,4.7,192.8,
范各庄煤矿,O10,第四系(Q),细砂,,197.7,4.9,,,,4.9,197.7,
范各庄煤矿,O10,第四系(Q),粘土,,199.7,2,,,,2,199.7,
范各庄煤矿,O10,第四系(Q),砂砾,,210.5,10.8,,,,10.8,210.5,
范各庄煤矿,O10,第四系(Q),粘土,,212.7,2.2,,,,2.2,212.7,
范各庄煤矿,O10,第四系(Q),卵石,,218.4,5.7,,,,5.7,218.4,
范各庄煤矿,O10,第四系(Q),粘土,,220,1.6,,,,1.6,220,
范各庄煤矿,O10,第四系(Q),细砂,,220.92,0.92,,,,0.92,220.92,
范各庄煤矿,O10,第四系(Q),亚粘土,,221.92,1,1,100,,1,221.92,灰白-黄色，结构较均一，细腻，局部含砂，搓条直径大于1毫米。
范各庄煤矿,O10,第四系(Q),细砂,,222.62,0.7,0.7,100,,0.7,222.62,灰白色，分选较好，结构疏松，含有黑色有机质。
范各庄煤矿,O10,第四系(Q),粘土,,225.55,2.93,2.93,100,,2.93,225.55,灰-灰黄色，结构紧密，可塑性强，搓条直径小于1毫米。
范各庄煤矿,O10,第四系(Q),中砂,,228.53,2.98,2.98,100,,2.98,228.53,黄灰-灰色，成分主要为石英及金云母碎片等，分选较好，结构疏松。
范各庄煤矿,O10,第四系(Q),粘土,,229.53,1,1,100,,1,229.53,灰黄-灰色，结构紧密，可塑性强，搓条直径小于1毫米。
范各庄煤矿,O10,第四系(Q),亚粘土,,236.95,7.42,3.9,52.6,,7.42,236.95,黄灰-红灰色，可塑性强，搓条直径大于1毫米，顶部0.40米夹粉砂，中下部含砂变化大。局部较纯，含砂少，近于粘土。
范各庄煤矿,O10,第四系(Q),粗砂含砾,,240.34,3.39,1.8,53.1,,3.39,240.34,灰黄色，成分主要为石英，燧石等，分选较差，结构疏松。砾径一般5-20毫米，呈次园状，自上而下渐变粗，砾子递增。
范各庄煤矿,O10,第四系(Q),粉砂,,241.94,1.6,1.2,75,,1.6,241.94,灰红-灰黄色，顶部较粗近于细砂，下部渐变细，局部近于亚粘土，底部0.30米渐变粗。
范各庄煤矿,O10,第四系(Q),粘土,,244.94,3,2.5,83.3,,3,244.94,灰黄-红色，结构紧密，可塑性强，搓条直径小于1毫米。
范各庄煤矿,O10,第四系(Q),粗砂,,248.12,3.18,1.7,53.5,,3.18,248.12,灰-黄色，成分主要为石英，岩块及燧石等，分选差。自上而下渐变粗，下部含砾，最大砾径约30毫米，一般5-15毫米，滚园度为圆状。
范各庄煤矿,O10,第四系(Q),亚粘土,第四系底界,251.7,3.58,2.7,75.4,,3.58,251.7,浅灰-灰白色，上部结构较紧密，质均一。下部以土黄色为主，夹细砂及粘土薄层，含少量燧石小砾及岩块，砾径均小于20毫米。
范各庄煤矿,O10,古冶组(P2-1),粗砂岩,,254.12,2.42,0.8,33.1,13,2.36,254.06,浅黄色，成分主要为石英，次为风化长石等，分选中等，滚圆度为次圆状，泥质孔隙式胶结，可见波状层理，受风氧化较强。
范各庄煤矿,O10,古冶组(P2-1),粉砂岩,,254.82,0.7,0.7,100,13,0.68,254.74,灰紫色，顶部0.20米为土黄色，中下部为灰紫色，质均一，偶见水平层理。
范各庄煤矿,O10,古冶组(P2-1),中粗砂岩,古冶组底界,260.09,5.27,2.3,43.6,13,5.13,259.87,浅紫色，成分主要为石英，次为风化长石等，分选中等，滚圆度为次棱角-次圆状，泥质孔隙式-基底式胶结。偶见波状层理。上部为土黄色，中部为浅紫色，下部为灰白色。
范各庄煤矿,O10,唐家庄组(P1-2),泥岩,,260.99,0.9,0.9,100,13,0.88,260.75,杂色，以紫色为主，呈花斑状，细腻，质软，具网状铁锈色印痕。
范各庄煤矿,O10,唐家庄组(P1-2),粉砂岩,,263.55,2.56,2.45,95.7,13,2.49,263.24,杂色，质欠均一，多以紫色为主，夹有泥岩及细砂岩薄层，局部含少量植物根化石。
范各庄煤矿,O10,唐家庄组(P1-2),细砂岩,,264.4,0.85,0.85,100,13,0.83,264.07,黄色，成分主要为石英，次为风化长石，分选较好，泥铁质基底式胶结，可见水平状层理。
范各庄煤矿,O10,唐家庄组(P1-2),泥岩,,265.8,1.4,1.35,96.4,13,1.36,265.43,紫色，细腻，质欠均一，参差状-棱角状断口，具压扭性滑面，上部以黄色为主，中下部以紫色为主。
范各庄煤矿,O10,唐家庄组(P1-2),粉砂岩,,268.9,3.1,3.1,100,13,3.02,268.45,紫灰色，质欠均一，上部以紫色为主，含少量植物根化石。下部以灰色为主，略显绿色，自267.10-268.00米具不规则开裂隙，并发育，面不平，局部附泥质。底部岩性变细。
范各庄煤矿,O10,唐家庄组(P1-2),细砂岩,,270.47,1.57,1.57,100,13,1.53,269.98,灰色，略显绿色。成分主要为石英，分选中等，泥硅质基底式胶结，不规则开裂隙较发育，岩石较破碎。
范各庄煤矿,O10,唐家庄组(P1-2),粉砂岩,,272.1,1.63,1.58,96.9,13,1.59,271.57,紫色，致密，质均一，含少量绿灰色斑块，具近于直立状-闭合裂隙，内附少量泥钙质。
范各庄煤矿,O10,唐家庄组(P1-2),粉砂岩,,287.08,14.98,13.38,89.3,13,14.6,286.17,灰色，致密，质较均一，夹有紫色粉砂岩，局部可见细砂岩薄层。在274.50-278.20米为紫灰色呈花斑状。在281.70-283.70米为灰紫色，呈花斑状，岩石破碎。底部可见水平状层理。286.00-286.80米岩性渐细，近于泥岩。
范各庄煤矿,O10,唐家庄组(P1-2),带状细砂岩,,288.54,1.46,1.46,100,13,1.42,287.59,灰-深灰色，上部略显绿色，与深灰色粉砂岩互层，显示水平及交错层理，含有植物碎屑化石。
范各庄煤矿,O10,唐家庄组(P1-2),粉砂岩,,292.96,4.42,2.9,65.6,13,4.31,291.9,灰色，略显绿色，质欠均一，致密，夹有泥岩薄层，偶见植物根化石及菱铁质结核。在288.80-290.35米处岩石裂隙较发育，岩芯破碎。下部岩性渐细，含少量植物根化石，并含砂。
范各庄煤矿,O10,唐家庄组(P1-2),细砂岩,,294.96,2,2,100,13,1.95,293.85,灰色，成分主要为石英，分选中等，泥硅质基底式胶结，波状-水平状层理，夹泥岩薄层。294.15-294.96米具一近于直立状开裂隙，面较平坦，无附着物。
范各庄煤矿,O10,唐家庄组(P1-2),粉砂岩,,295.46,0.5,0.5,100,13,0.49,294.34,灰色，致密，质较均一，偶见植物根化石。在295.00-296.30米具一斜交闭合裂隙，内充填钙质。
