钻孔名,坐标x,坐标y
BK-1,523656.2,4371034.33
BK-2,523484.16,4371392.21
BK-3,525091.64,4371062.91
BK-4,523975.24,4371159.01
BK-5,524311.42,4371281.15
BK-7,523130.55,4371061.01
BK-9,523156.19,4371080.11
BK-12,523885.61,4370914.16
BK-19,524656.98,4371547.13
BK-21,523843.87,4371505.82
BK-31,523981.45,4371057.38
BK-32,523766.89,4371123.03
BK-35,523518.23,4371564.17
BK-42,523531.75,4370958.11
BK-43,523802,4370926
BK-60,523253.25,4371251.74
BK-61,523543.62,4371270.06
BK-62,523051.371,4371304.118
BK-63,523430.13,4371287.14
