序号,名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa
1,腐殖土,0.6,,,
2,细砂岩,47,,,
3,泥岩,4.4,,,
4,中砾岩,4.2,,,
5,粉砂岩,3,,,
6,中砾岩,37.8,,,
7,粉砂岩,0.6,,,
8,15-4煤,2.5,,,
9,泥岩,4.5,,,
10,中砾岩,18,,,
11,细砂岩,4.4,,,
12,15-5上煤,0.8,,,
13,泥岩,1.2,,,
14,15-5下煤,2.9,,,
15,泥岩,1,,,
16,炭质泥岩,1,,,
17,中砂岩,3,,,
18,炭质泥岩,0.5,,,
19,中砂岩,6.9,,,
20,中砾岩,10.4,,,
21,粉砂岩,2,,,
22,中砾岩,40.7,,,
23,粉砂岩,1.2,,,
24,细砂岩,1,,,
25,炭质泥岩,0.5,,,
26,粉砂岩,1.6,,,
27,15-7煤,2.1,,,
28,粉砂岩,5.9,,,
29,中砾岩,10.6,,,
30,粉砂岩,0.77,,,
31,中砾岩,67.63,,,
32,泥岩,6.2,,,
33,16-1煤,3.1,,,
34,炭质泥岩,1.3,,,
35,泥岩,1.5,,,
36,粉砂岩,6.8,,,
37,中砾岩,7.6,,,
38,细砂岩,7.2,,,
39,中砾岩,5.2,,,
40,粉砂岩,2.2,,,
41,炭质泥岩,0.5,,,
42,粉砂岩,8,,,
43,16-2上煤,1.9,,,
44,粉砂岩,3.7,,,
45,16-2下煤,2.2,,,
46,粉砂岩,4.8,,,
47,中砂岩,7.1,,,
48,细砂岩,1.5,,,
49,粗砾岩,2,,,
50,泥岩,5.7,,,
51,中砾岩,5.9,,,
52,泥岩,12.5,,,
53,中砾岩,6.1,,,
54,16-3上煤,9.2,,,
55,细砂岩,1.9,,,
56,16-3中煤,1.9,,,
57,粉砂岩,0.6,,,
58,细砂岩,2.5,,,
59,16-3煤,27.8,,,
60,粉砂岩,0.8,,,
61,细砂岩,4,,,
62,中砾岩,4.4,,,
63,16-4煤,1.2,,,
