пР╨е,цШЁф,╨Я╤х/m,╣╞птдёа©/Gpa,хщжь/kN*m-3,©╧ю╜г©╤х/MPa
61,╦╞жЁма,0.7,,,
60,о╦и╟яр,39.3,,,
59,П╓ма,15.5,,,
58,жпюЫяр,46.3,,,
57,л©жйдЮяр,0.4,,,
56,╥ши╟яр,7.6,,,
55,ц╨,1.2,,,
54,╥ши╟яр,6.15,,,
53,жпюЫяр,27.85,,,
52,╥ши╟яр,7.25,,,
51,15-1иоц╨,3.95,,,
50,╥ши╟яр,19,,,
49,15-1обц╨,1.8,,,
48,ц╨,0.8,,,
47,╥ши╟яр,1.3,,,
46,ц╨,0.8,,,
45,╥ши╟яр,16.5,,,
44,15-2ц╨,0.8,,,
43,╥ши╟яр,4.6,,,
42,15-3ц╨,1.15,,,
41,╥ши╟яр,21.1,,,
40,ц╨,1.1,,,
39,╥ши╟яр,0.95,,,
38,л©жйдЮяр,0.3,,,
37,╥ши╟яр,2.5,,,
36,ц╨,0.55,,,
35,╥ши╟яр,1.3,,,
34,ц╨,0.65,,,
33,╥ши╟яр,2.35,,,
32,ц╨,0.75,,,
31,╥ши╟яр,2.05,,,
30,15-4ц╨,1.15,,,
29,╥ши╟яр,13.85,,,
28,╨╛юЫо╦и╟яр,6.65,,,
27,╥ши╟яр,13.85,,,
26,15-5обц╨,0.8,,,
25,╥ши╟яр,81.65,,,
24,15-6ц╨,0.7,,,
23,╥ши╟яр,34.85,,,
22,15-7ц╨,0.55,,,
21,╥ши╟яр,24.05,,,
20,жпюЫяр,10.8,,,
19,╥ши╟яр,19.6,,,
18,16-1ц╨,1.1,,,
17,╥ши╟яр,8.1,,,
16,╨╛юЫо╦и╟яр,8.2,,,
15,╥ши╟яр,69.45,,,
14,16-2обц╨,0.4,,,
13,╥ши╟яр,13.1,,,
12,16-3иоц╨,23,,,
11,╥ши╟яр,0.95,,,
10,л©жйдЮяр,0.6,,,
9,╥ши╟яр,2,,,
8,16-3ц╨,22.65,,,
7,╥ши╟яр,4.2,,,
6,ц╨,0.6,,,
5,╥ши╟яр,6.05,,,
4,л©жйдЮяр,0.8,,,
3,╥ши╟яр,0.3,,,
2,16-4ц╨,4.3,,,
1,╥ши╟яр,38.55,,,
