序号,名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa
42,表土,0.5,,,
41,细砂岩,33.4,,,
40,砾岩,23.24,,,
39,粉砂岩,8.26,,,
38,15-3煤,0.9,,,
37,粉砂岩,18.13,,,
36,中砾岩,20.78,,,
35,粉砂岩,6.81,,,
34,中砾岩,13.68,,,
33,粉砂岩,27.26,,,
32,中砾岩,33.14,,,
31,粉砂岩,14.71,,,
30,中砾岩,11.39,,,
29,泥岩,12.4,,,
28,15-7煤,0.4,,,
27,粉砂岩,2.5,,,
26,中砾岩,5.28,,,
25,粉砂质泥岩,6.91,,,
24,中砾岩,27.17,,,
23,粉砂岩,31.77,,,
22,细砾岩,17.88,,,
21,粉砂岩,11.69,,,
20,16-2上煤,0.3,,,
19,粉砂质泥岩,1.66,,,
18,16-2下煤,1,,,
17,粉砂质泥岩,18,,,
16,煤,1,,,
15,粉砂质泥岩,7.12,,,
14,煤,0.5,,,
13,粉砂质泥岩,9.58,,,
12,煤,0.7,,,
11,粉砂质泥岩,6.5,,,
10,中砾岩,3.32,,,
9,粉砂质泥岩,5.66,,,
8,16-3上煤,1.3,,,
7,粉砂岩,4.42,,,
6,16-3煤,20.7,,,
5,粉砂质泥岩,2,,,
4,炭质泥岩,1.4,,,
3,粉砂质泥岩,1.7,,,
2,16-4煤,3.8,,,
1,细砂岩,14.21,,,
