序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
19,黄土,100.7,0.54,1800,0.0,
18,中粒砂岩,8.67,20.0,2570,2.72,106.24
17,泥岩,4.4,7.17,2680,1.32,
16,中粒砂岩,6.93,20.0,2570,2.72,
15,粗粒砂岩,5.69,11.49,2780,3.075,
14,砂质泥岩,6.5,7.17,2680,1.32,
13,粉砂岩,1.64,10.2,2590,2.6,
12,粗粒砂岩,11.07,11.49,2780,3.075,
11,粉砂岩,7.44,10.2,2590,2.6,
10,4煤,5.07,2.72,1410,0.83,
9,砂质泥岩,0.89,7.17,2680,1.32,
8,粉砂岩,1.4,10.2,2590,2.6,
7,砂质泥岩,2.15,7.17,2680,1.32,162.54999999999998
6,中粒砂岩,20.95,20.0,2570,2.72,32.11
5,含砾粗粒砂岩,11.85,11.49,2780,1.44,
4,炭质泥岩,0.68,7.17,2680,1.32,
3,中粒砂岩,8.63,20.0,2570,2.72,
2,粗粒砂岩,9.78,11.49,2780,3.075,
1,粉砂岩,1.17,10.2,2590,2.6,
0,6-1煤,7.32,2.72,1410,0.83,
