钻孔名,坐标x,坐标y
50-14,495394.96,5404813.13
50-15,495558.87,5404339.03
50-16,495724.71,5403865.27
52-17,495869.64,5404980.28
52-18,496022.31,5404502.09
52-19,496166.57,5404015.05
54-16,496497.74,5404659.17
54-17,496655.46,5404184.68
54-18,496814.18,5403710.73
56-18,496675.16,5405766.01
56-20,497136.01,5404331.36
56-22,497291.62,5403856.01
60-18,497934.73,5405121.27
60-20,498232.97,5404152.17
64-24,498879.63,5405400.98
BK12-2,497464.39,5404959.31
BK12-3,497621.5,5404458.17
BK12-4,497754,5403998.03
BK12-7,498083.15,5404638.49
BK12-8,498378.44,5403689.89
BK14-9,499027.9391,5404918.19
BK17-6,498782.26,5404074.31
BK20-1,498695.79,5404381
BK23-3,498046.92,5404790.11
BK23-4,498616.54,5404670.77
BK23-5,496173.39,5405602.25
BK23-6,496830.86,5405285.47
BK23-8,497760.29,5405592.22
