序号,名称,厚度/m
1,腐殖土,0.5
2,细砂岩,39.55
3,粗砂岩,7.45
4,中砾岩,28.1
5,细砂岩,4.7
6,中砾岩,13.9
7,粉砂岩,2.0
8,煤,0.6
9,粉砂岩,2.1
10,中砾岩,39.9
11,泥岩,2.0
12,中砾岩,15.55
13,煤,1.0
14,中砾岩,69.85
15,细砂岩,1.45
16,中砂岩,3.05
17,煤,0.6
18,粉砂岩,1.1
19,煤,0.9
20,中砂岩,0.3
21,煤,0.4
22,粉砂岩,0.3
23,炭质泥岩,0.65
24,细砂岩,7.0
25,炭质泥岩,0.5
26,煤,1.0
27,细砂岩,4.2
28,粉砂岩,0.5
29,煤,1.0
30,炭质泥岩,1.0
31,粉砂岩,6.9
32,粗砂岩,0.5
33,中砾岩,6.7
34,粉砂岩,1.75
35,碳质泥岩,0.8
36,粉砂岩,1.5
37,煤,0.6
38,粉砂岩,0.6
39,细砂岩,0.8
40,粉砂岩,2.3
41,中砾岩,3.8
42,煤,0.6
43,细砂岩,3.4
44,16-3煤,43.900000000000034
